START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,12:10 PM,03:10 PM,Mariners at Padres,Peoria Stadium - Peoria,"Local TV: FSSD",02/23/18,02/23/18,03:10 PM,06:10 PM,FALSE,TRUE,02/23/18,11:10 AM,02:10 PM,FREE,BUSY
02/24/18,12:05 PM,03:05 PM,Padres at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",02/24/18,02/24/18,03:05 PM,06:05 PM,FALSE,TRUE,02/24/18,11:05 AM,02:05 PM,FREE,BUSY
02/25/18,12:10 PM,03:10 PM,Padres at Angels,Tempe Diablo Stadium - Tempe,"Local TV: FSSD ----- Local Radio: MLB.com",02/25/18,02/25/18,03:10 PM,06:10 PM,FALSE,TRUE,02/25/18,11:10 AM,02:10 PM,FREE,BUSY
02/26/18,12:10 PM,03:10 PM,Angels at Padres,Peoria Stadium - Peoria,"Local TV: FSSD ----- Local Radio: MLB.com",02/26/18,02/26/18,03:10 PM,06:10 PM,FALSE,TRUE,02/26/18,11:10 AM,02:10 PM,FREE,BUSY
02/27/18,12:10 PM,03:10 PM,Padres at Mariners,Peoria Stadium - Peoria,"Local TV: FSSD",02/27/18,02/27/18,03:10 PM,06:10 PM,FALSE,TRUE,02/27/18,11:10 AM,02:10 PM,FREE,BUSY
02/28/18,12:10 PM,03:10 PM,Dodgers at Padres,Peoria Stadium - Peoria,"Local TV: FSSD",02/28/18,02/28/18,03:10 PM,06:10 PM,FALSE,TRUE,02/28/18,11:10 AM,02:10 PM,FREE,BUSY
03/01/18,12:05 PM,03:05 PM,Padres at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/01/18,03/01/18,03:05 PM,06:05 PM,FALSE,TRUE,03/01/18,11:05 AM,02:05 PM,FREE,BUSY
03/02/18,12:10 PM,03:10 PM,Royals at Padres,Peoria Stadium - Peoria,"Local TV: FSSD",03/02/18,03/02/18,03:10 PM,06:10 PM,FALSE,TRUE,03/02/18,11:10 AM,02:10 PM,FREE,BUSY
03/03/18,12:05 PM,03:05 PM,Padres at Athletics,Hohokam Stadium - Mesa,"Local Radio: KEGY 97.3 ",03/03/18,03/03/18,03:05 PM,06:05 PM,FALSE,TRUE,03/03/18,11:05 AM,02:05 PM,FREE,BUSY
03/04/18,12:05 PM,03:05 PM,Padres at White Sox,Camelback Ranch - Glendale,"",03/04/18,03/04/18,03:05 PM,06:05 PM,FALSE,TRUE,03/04/18,11:05 AM,02:05 PM,FREE,BUSY
03/04/18,12:10 PM,03:10 PM,Athletics at Padres,Peoria Stadium - Peoria,"Local Radio: KEGY 97.3 ",03/04/18,03/04/18,03:10 PM,06:10 PM,FALSE,TRUE,03/04/18,11:10 AM,02:10 PM,FREE,BUSY
03/05/18,05:40 PM,08:40 PM,D-backs at Padres,Peoria Stadium - Peoria,"Local TV: FSSD- MLBN ----- Local Radio: KEGY 97.3 ",03/05/18,03/05/18,08:40 PM,11:40 PM,FALSE,TRUE,03/05/18,04:40 PM,07:40 PM,FREE,BUSY
03/06/18,05:05 PM,08:05 PM,Padres at Royals,Surprise Stadium - Surprise,"Local TV: FSSD ----- Local Radio: MLB.com",03/06/18,03/06/18,08:05 PM,11:05 PM,FALSE,TRUE,03/06/18,04:05 PM,07:05 PM,FREE,BUSY
03/07/18,12:05 PM,03:05 PM,Padres at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",03/07/18,03/07/18,03:05 PM,06:05 PM,FALSE,TRUE,03/07/18,11:05 AM,02:05 PM,FREE,BUSY
03/08/18,12:05 PM,03:05 PM,Padres at Cubs,Sloan Park - Mesa,"Local Radio: MLB.com",03/08/18,03/08/18,03:05 PM,06:05 PM,FALSE,TRUE,03/08/18,11:05 AM,02:05 PM,FREE,BUSY
03/09/18,12:10 PM,03:10 PM,White Sox at Padres,Peoria Stadium - Peoria,"Local TV: FSSD",03/09/18,03/09/18,03:10 PM,06:10 PM,FALSE,TRUE,03/09/18,11:10 AM,02:10 PM,FREE,BUSY
03/10/18,12:10 PM,03:10 PM,Indians at Padres,Peoria Stadium - Peoria,"Local TV: FSSD",03/10/18,03/10/18,03:10 PM,06:10 PM,FALSE,TRUE,03/10/18,11:10 AM,02:10 PM,FREE,BUSY
03/11/18,03:05 PM,06:05 PM,Padres at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KEGY 97.3 ",03/11/18,03/11/18,06:05 PM,09:05 PM,FALSE,TRUE,03/11/18,02:05 PM,05:05 PM,FREE,BUSY
03/12/18,12:05 PM,03:05 PM,Padres at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/12/18,03/12/18,03:05 PM,06:05 PM,FALSE,TRUE,03/12/18,11:05 AM,02:05 PM,FREE,BUSY
03/13/18,01:10 PM,04:10 PM,Cubs at Padres,Peoria Stadium - Peoria,"Local TV: FSSD- MLBN",03/13/18,03/13/18,04:10 PM,07:10 PM,FALSE,TRUE,03/13/18,12:10 PM,03:10 PM,FREE,BUSY
03/15/18,06:40 PM,09:40 PM,Giants at Padres,Peoria Stadium - Peoria,"Local Radio: KEGY 97.3 ",03/15/18,03/16/18,09:40 PM,12:40 AM,FALSE,TRUE,03/15/18,05:40 PM,08:40 PM,FREE,BUSY
03/16/18,01:10 PM,04:10 PM,Royals at Padres,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/16/18,03/16/18,04:10 PM,07:10 PM,FALSE,TRUE,03/16/18,12:10 PM,03:10 PM,FREE,BUSY
03/17/18,01:10 PM,04:10 PM,Padres at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: KEGY 97.3 ",03/17/18,03/17/18,04:10 PM,07:10 PM,FALSE,TRUE,03/17/18,12:10 PM,03:10 PM,FREE,BUSY
03/18/18,01:05 PM,04:05 PM,Padres at Dodgers,Camelback Ranch - Glendale,"Local Radio: KEGY 97.3 ",03/18/18,03/18/18,04:05 PM,07:05 PM,FALSE,TRUE,03/18/18,12:05 PM,03:05 PM,FREE,BUSY
03/20/18,06:40 PM,09:40 PM,Reds at Padres,Peoria Stadium - Peoria,"Local Radio: KEGY 97.3 ",03/20/18,03/21/18,09:40 PM,12:40 AM,FALSE,TRUE,03/20/18,05:40 PM,08:40 PM,FREE,BUSY
03/21/18,01:05 PM,04:05 PM,Padres at White Sox,Camelback Ranch - Glendale,"Local Radio: MLB.com",03/21/18,03/21/18,04:05 PM,07:05 PM,FALSE,TRUE,03/21/18,12:05 PM,03:05 PM,FREE,BUSY
03/22/18,01:05 PM,04:05 PM,Padres at Indians,Goodyear Ballpark - Goodyear,"Local Radio: MLB.com",03/22/18,03/22/18,04:05 PM,07:05 PM,FALSE,TRUE,03/22/18,12:05 PM,03:05 PM,FREE,BUSY
03/23/18,06:40 PM,09:40 PM,Rangers at Padres,Peoria Stadium - Peoria,"Local TV: FSSD- MLBN ----- Local Radio: KEGY 97.3 ",03/23/18,03/24/18,09:40 PM,12:40 AM,FALSE,TRUE,03/23/18,05:40 PM,08:40 PM,FREE,BUSY
03/24/18,01:05 PM,04:05 PM,Padres at Reds,Goodyear Ballpark - Goodyear,"Local Radio: KEGY 97.3 ",03/24/18,03/24/18,04:05 PM,07:05 PM,FALSE,TRUE,03/24/18,12:05 PM,03:05 PM,FREE,BUSY
03/25/18,12:10 PM,03:10 PM,Mariners at Padres,Peoria Stadium - Peoria,"Local Radio: KEGY 97.3 ",03/25/18,03/25/18,03:10 PM,06:10 PM,FALSE,TRUE,03/25/18,11:10 AM,02:10 PM,FREE,BUSY
03/26/18,05:05 PM,08:05 PM,Padres at Chihuahuas,Southwest University Park - El Paso,"Local TV: FSSD ----- Local Radio: KEGY 97.3 ",03/26/18,03/26/18,08:05 PM,11:05 PM,FALSE,TRUE,03/26/18,04:05 PM,07:05 PM,FREE,BUSY
03/29/18,01:10 PM,04:10 PM,Brewers at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KEGY 97.3 - XEMO 860",03/29/18,03/29/18,04:10 PM,07:10 PM,FALSE,TRUE,03/29/18,12:10 PM,03:10 PM,FREE,BUSY
03/30/18,07:10 PM,10:10 PM,Brewers at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KEGY 97.3 - XEMO 860",03/30/18,03/31/18,10:10 PM,01:10 AM,FALSE,TRUE,03/30/18,06:10 PM,09:10 PM,FREE,BUSY
03/31/18,05:40 PM,08:40 PM,Brewers at Padres,Petco Park - San Diego,"Local TV: FS1 ----- Local Radio: KEGY 97.3 - XEMO 860",03/31/18,03/31/18,08:40 PM,11:40 PM,FALSE,TRUE,03/31/18,04:40 PM,07:40 PM,FREE,BUSY
04/02/18,07:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KEGY 97.3 - XEMO 860",04/02/18,04/03/18,10:10 PM,01:10 AM,FALSE,TRUE,04/02/18,06:10 PM,09:10 PM,FREE,BUSY
04/03/18,07:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: KEGY 97.3 - XEMO 860",04/03/18,04/04/18,10:10 PM,01:10 AM,FALSE,TRUE,04/03/18,06:10 PM,09:10 PM,FREE,BUSY
04/04/18,07:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"Local TV: FSSD- MLBN (out-of-market only)- FOX Deportes San Diego ----- Local Radio: KEGY 97.3 - XEMO 860",04/04/18,04/05/18,10:10 PM,01:10 AM,FALSE,TRUE,04/04/18,06:10 PM,09:10 PM,FREE,BUSY
