START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/24/18,02:05 PM,03:05 PM,Rangers at Cubs,Sloan Park - Mesa,"Local Radio: 105.3 The Fan",02/24/18,02/24/18,05:05 PM,06:05 PM,FALSE,TRUE,02/24/18,01:05 PM,02:05 PM,FREE,BUSY
02/25/18,02:05 PM,03:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",02/25/18,02/25/18,05:05 PM,06:05 PM,FALSE,TRUE,02/25/18,01:05 PM,02:05 PM,FREE,BUSY
02/26/18,02:05 PM,03:05 PM,Dodgers at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",02/26/18,02/26/18,05:05 PM,06:05 PM,FALSE,TRUE,02/26/18,01:05 PM,02:05 PM,FREE,BUSY
02/27/18,02:05 PM,03:05 PM,Rangers at Dodgers,Camelback Ranch - Glendale,"Local Radio: MLB.com",02/27/18,02/27/18,05:05 PM,06:05 PM,FALSE,TRUE,02/27/18,01:05 PM,02:05 PM,FREE,BUSY
02/28/18,02:05 PM,03:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,"Local Radio: MLB.com",02/28/18,02/28/18,05:05 PM,06:05 PM,FALSE,TRUE,02/28/18,01:05 PM,02:05 PM,FREE,BUSY
03/01/18,02:05 PM,03:05 PM,Padres at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/01/18,03/01/18,05:05 PM,06:05 PM,FALSE,TRUE,03/01/18,01:05 PM,02:05 PM,FREE,BUSY
03/01/18,02:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,"",03/01/18,03/01/18,05:05 PM,06:05 PM,FALSE,TRUE,03/01/18,01:05 PM,02:05 PM,FREE,BUSY
03/02/18,02:05 PM,03:05 PM,Rangers at Indians,Goodyear Ballpark - Goodyear,"Local Radio: MLB.com",03/02/18,03/02/18,05:05 PM,06:05 PM,FALSE,TRUE,03/02/18,01:05 PM,02:05 PM,FREE,BUSY
03/03/18,02:05 PM,03:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: 105.3 The Fan",03/03/18,03/03/18,05:05 PM,06:05 PM,FALSE,TRUE,03/03/18,01:05 PM,02:05 PM,FREE,BUSY
03/04/18,02:05 PM,03:05 PM,Mariners at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/04/18,03/04/18,05:05 PM,06:05 PM,FALSE,TRUE,03/04/18,01:05 PM,02:05 PM,FREE,BUSY
03/05/18,02:05 PM,03:05 PM,Giants at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/05/18,03/05/18,05:05 PM,06:05 PM,FALSE,TRUE,03/05/18,01:05 PM,02:05 PM,FREE,BUSY
03/06/18,02:05 PM,03:05 PM,Rangers at Athletics,Hohokam Stadium - Mesa,"Local Radio: MLB.com",03/06/18,03/06/18,05:05 PM,06:05 PM,FALSE,TRUE,03/06/18,01:05 PM,02:05 PM,FREE,BUSY
03/07/18,02:10 PM,03:10 PM,Rangers at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB.com",03/07/18,03/07/18,05:10 PM,06:10 PM,FALSE,TRUE,03/07/18,01:10 PM,02:10 PM,FREE,BUSY
03/08/18,02:05 PM,03:05 PM,White Sox at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/08/18,03/08/18,05:05 PM,06:05 PM,FALSE,TRUE,03/08/18,01:05 PM,02:05 PM,FREE,BUSY
03/09/18,07:05 PM,08:05 PM,Rangers at Reds,Goodyear Ballpark - Goodyear,"Local Radio: 105.3 The Fan",03/09/18,03/09/18,10:05 PM,11:05 PM,FALSE,TRUE,03/09/18,06:05 PM,07:05 PM,FREE,BUSY
03/10/18,02:05 PM,03:05 PM,Athletics at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/10/18,03/10/18,05:05 PM,06:05 PM,FALSE,TRUE,03/10/18,01:05 PM,02:05 PM,FREE,BUSY
03/11/18,03:10 PM,04:10 PM,Rangers at Angels,Tempe Diablo Stadium - Tempe,"Local TV: FSSW+ ----- Local Radio: 105.3 The Fan",03/11/18,03/11/18,06:10 PM,07:10 PM,FALSE,TRUE,03/11/18,02:10 PM,03:10 PM,FREE,BUSY
03/12/18,08:05 PM,09:05 PM,Rangers at Royals,Surprise Stadium - Surprise,"Local TV: FSSW ----- Local Radio: 105.3 The Fan",03/12/18,03/13/18,11:05 PM,12:05 AM,FALSE,TRUE,03/12/18,07:05 PM,08:05 PM,FREE,BUSY
03/12/18,03:05 PM,04:05 PM,Rangers at Indians,Goodyear Ballpark - Goodyear,"",03/12/18,03/12/18,06:05 PM,07:05 PM,FALSE,TRUE,03/12/18,02:05 PM,03:05 PM,FREE,BUSY
03/13/18,03:05 PM,04:05 PM,Rangers at Brewers,Maryvale Baseball Park - Phoenix,"Local TV: FSSW ----- Local Radio: MLB.com",03/13/18,03/13/18,06:05 PM,07:05 PM,FALSE,TRUE,03/13/18,02:05 PM,03:05 PM,FREE,BUSY
03/15/18,03:05 PM,04:05 PM,Brewers at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/15/18,03/15/18,06:05 PM,07:05 PM,FALSE,TRUE,03/15/18,02:05 PM,03:05 PM,FREE,BUSY
03/16/18,03:05 PM,04:05 PM,Mariners at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/16/18,03/16/18,06:05 PM,07:05 PM,FALSE,TRUE,03/16/18,02:05 PM,03:05 PM,FREE,BUSY
03/17/18,08:05 PM,09:05 PM,Royals at Rangers,Surprise Stadium - Surprise,"Local TV: TXA-21 ----- Local Radio: 105.3 The Fan",03/17/18,03/18/18,11:05 PM,12:05 AM,FALSE,TRUE,03/17/18,07:05 PM,08:05 PM,FREE,BUSY
03/17/18,02:05 PM,03:05 PM,Rangers at Royals,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/17/18,03/17/18,05:05 PM,06:05 PM,FALSE,TRUE,03/17/18,01:05 PM,02:05 PM,FREE,BUSY
03/18/18,03:05 PM,04:05 PM,Angels at Rangers,Surprise Stadium - Surprise,"Local TV: TXA-21- MLBN ----- Local Radio: 105.3 The Fan",03/18/18,03/18/18,06:05 PM,07:05 PM,FALSE,TRUE,03/18/18,02:05 PM,03:05 PM,FREE,BUSY
03/19/18,08:05 PM,09:05 PM,Rockies at Rangers,Surprise Stadium - Surprise,"Local TV: FSSW- MLBN ----- Local Radio: 105.3 The Fan",03/19/18,03/20/18,11:05 PM,12:05 AM,FALSE,TRUE,03/19/18,07:05 PM,08:05 PM,FREE,BUSY
03/20/18,03:05 PM,04:05 PM,Rangers at White Sox,Camelback Ranch - Glendale,"Local TV: MLBN ----- Local Radio: MLB.com",03/20/18,03/20/18,06:05 PM,07:05 PM,FALSE,TRUE,03/20/18,02:05 PM,03:05 PM,FREE,BUSY
03/21/18,03:05 PM,04:05 PM,Cubs at Rangers,Surprise Stadium - Surprise,"Local TV: MLBN- FSSW",03/21/18,03/21/18,06:05 PM,07:05 PM,FALSE,TRUE,03/21/18,02:05 PM,03:05 PM,FREE,BUSY
03/22/18,08:05 PM,09:05 PM,Reds at Rangers,Surprise Stadium - Surprise,"Local TV: TXA-21 ----- Local Radio: 105.3 The Fan",03/22/18,03/23/18,11:05 PM,12:05 AM,FALSE,TRUE,03/22/18,07:05 PM,08:05 PM,FREE,BUSY
03/22/18,08:40 PM,09:40 PM,Rangers at Mariners,Peoria Stadium - Peoria,"",03/22/18,03/23/18,11:40 PM,12:40 AM,FALSE,TRUE,03/22/18,07:40 PM,08:40 PM,FREE,BUSY
03/23/18,08:40 PM,09:40 PM,Rangers at Padres,Peoria Stadium - Peoria,"Local TV: FSSW+- MLBN ----- Local Radio: 105.3 The Fan",03/23/18,03/24/18,11:40 PM,12:40 AM,FALSE,TRUE,03/23/18,07:40 PM,08:40 PM,FREE,BUSY
03/24/18,02:05 PM,03:05 PM,Indians at Rangers,Surprise Stadium - Surprise,"Local Radio: 105.3 The Fan",03/24/18,03/24/18,05:05 PM,06:05 PM,FALSE,TRUE,03/24/18,01:05 PM,02:05 PM,FREE,BUSY
03/26/18,07:05 PM,08:05 PM,Reds at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",03/26/18,03/26/18,10:05 PM,11:05 PM,FALSE,TRUE,03/26/18,06:05 PM,07:05 PM,FREE,BUSY
03/29/18,02:35 PM,03:35 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW- ESPN ----- Local Radio: 105.3 The Fan- KFLC 1270",03/29/18,03/29/18,05:35 PM,06:35 PM,FALSE,TRUE,03/29/18,01:35 PM,02:35 PM,FREE,BUSY
03/30/18,07:05 PM,08:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",03/30/18,03/30/18,10:05 PM,11:05 PM,FALSE,TRUE,03/30/18,06:05 PM,07:05 PM,FREE,BUSY
03/31/18,03:05 PM,04:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW- FS1- FOX Deportes ----- Local Radio: 105.3 The Fan- KFLC 1270",03/31/18,03/31/18,06:05 PM,07:05 PM,FALSE,TRUE,03/31/18,02:05 PM,03:05 PM,FREE,BUSY
04/01/18,02:05 PM,03:05 PM,Astros at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/01/18,04/01/18,05:05 PM,06:05 PM,FALSE,TRUE,04/01/18,01:05 PM,02:05 PM,FREE,BUSY
04/02/18,09:05 PM,10:05 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/03/18,04/03/18,12:05 AM,01:05 AM,FALSE,TRUE,04/02/18,08:05 PM,09:05 PM,FREE,BUSY
04/03/18,09:05 PM,10:05 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/04/18,04/04/18,12:05 AM,01:05 AM,FALSE,TRUE,04/03/18,08:05 PM,09:05 PM,FREE,BUSY
04/04/18,09:05 PM,10:05 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: FSSW+- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270",04/05/18,04/05/18,12:05 AM,01:05 AM,FALSE,TRUE,04/04/18,08:05 PM,09:05 PM,FREE,BUSY
04/05/18,02:35 PM,03:35 PM,Rangers at Athletics,Oakland Coliseum - Oakland,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/05/18,04/05/18,05:35 PM,06:35 PM,FALSE,TRUE,04/05/18,01:35 PM,02:35 PM,FREE,BUSY
04/06/18,07:05 PM,08:05 PM,Blue Jays at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/06/18,04/06/18,10:05 PM,11:05 PM,FALSE,TRUE,04/06/18,06:05 PM,07:05 PM,FREE,BUSY
04/07/18,07:05 PM,08:05 PM,Blue Jays at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFZO 99.1",04/07/18,04/07/18,10:05 PM,11:05 PM,FALSE,TRUE,04/07/18,06:05 PM,07:05 PM,FREE,BUSY
04/08/18,02:05 PM,03:05 PM,Blue Jays at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW+ ----- Local Radio: 105.3 The Fan- KFLC 1270",04/08/18,04/08/18,05:05 PM,06:05 PM,FALSE,TRUE,04/08/18,01:05 PM,02:05 PM,FREE,BUSY
04/09/18,07:05 PM,08:05 PM,Angels at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/09/18,04/09/18,10:05 PM,11:05 PM,FALSE,TRUE,04/09/18,06:05 PM,07:05 PM,FREE,BUSY
04/10/18,07:05 PM,08:05 PM,Angels at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/10/18,04/10/18,10:05 PM,11:05 PM,FALSE,TRUE,04/10/18,06:05 PM,07:05 PM,FREE,BUSY
04/11/18,07:05 PM,08:05 PM,Angels at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/11/18,04/11/18,10:05 PM,11:05 PM,FALSE,TRUE,04/11/18,06:05 PM,07:05 PM,FREE,BUSY
04/13/18,07:10 PM,08:10 PM,Rangers at Astros,Minute Maid Park - Houston,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/13/18,04/13/18,10:10 PM,11:10 PM,FALSE,TRUE,04/13/18,06:10 PM,07:10 PM,FREE,BUSY
04/14/18,03:05 PM,04:05 PM,Rangers at Astros,Minute Maid Park - Houston,"Local TV: FSSW- FS1- FOX Deportes ----- Local Radio: 105.3 The Fan- KFLC 1270",04/14/18,04/14/18,06:05 PM,07:05 PM,FALSE,TRUE,04/14/18,02:05 PM,03:05 PM,FREE,BUSY
04/15/18,07:08 PM,08:08 PM,Rangers at Astros,Minute Maid Park - Houston,"Local TV: ESPN ----- Local Radio: 105.3 The Fan- KFLC 1270",04/15/18,04/15/18,10:08 PM,11:08 PM,FALSE,TRUE,04/15/18,06:08 PM,07:08 PM,FREE,BUSY
04/16/18,06:10 PM,07:10 PM,Rangers at Rays,Tropicana Field - St. Petersburg,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/16/18,04/16/18,09:10 PM,10:10 PM,FALSE,TRUE,04/16/18,05:10 PM,06:10 PM,FREE,BUSY
04/17/18,06:10 PM,07:10 PM,Rangers at Rays,Tropicana Field - St. Petersburg,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/17/18,04/17/18,09:10 PM,10:10 PM,FALSE,TRUE,04/17/18,05:10 PM,06:10 PM,FREE,BUSY
04/18/18,12:10 PM,01:10 PM,Rangers at Rays,Tropicana Field - St. Petersburg,"Local TV: FSSW- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270",04/18/18,04/18/18,03:10 PM,04:10 PM,FALSE,TRUE,04/18/18,11:10 AM,12:10 PM,FREE,BUSY
04/20/18,07:05 PM,08:05 PM,Mariners at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/20/18,04/20/18,10:05 PM,11:05 PM,FALSE,TRUE,04/20/18,06:05 PM,07:05 PM,FREE,BUSY
04/21/18,07:05 PM,08:05 PM,Mariners at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/21/18,04/21/18,10:05 PM,11:05 PM,FALSE,TRUE,04/21/18,06:05 PM,07:05 PM,FREE,BUSY
04/22/18,02:05 PM,03:05 PM,Mariners at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/22/18,04/22/18,05:05 PM,06:05 PM,FALSE,TRUE,04/22/18,01:05 PM,02:05 PM,FREE,BUSY
04/23/18,07:05 PM,08:05 PM,Athletics at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/23/18,04/23/18,10:05 PM,11:05 PM,FALSE,TRUE,04/23/18,06:05 PM,07:05 PM,FREE,BUSY
04/24/18,07:05 PM,08:05 PM,Athletics at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/24/18,04/24/18,10:05 PM,11:05 PM,FALSE,TRUE,04/24/18,06:05 PM,07:05 PM,FREE,BUSY
04/25/18,07:05 PM,08:05 PM,Athletics at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/25/18,04/25/18,10:05 PM,11:05 PM,FALSE,TRUE,04/25/18,06:05 PM,07:05 PM,FREE,BUSY
04/27/18,06:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/27/18,04/27/18,09:07 PM,10:07 PM,FALSE,TRUE,04/27/18,05:07 PM,06:07 PM,FREE,BUSY
04/28/18,03:07 PM,04:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/28/18,04/28/18,06:07 PM,07:07 PM,FALSE,TRUE,04/28/18,02:07 PM,03:07 PM,FREE,BUSY
04/29/18,12:07 PM,01:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/29/18,04/29/18,03:07 PM,04:07 PM,FALSE,TRUE,04/29/18,11:07 AM,12:07 PM,FREE,BUSY
04/30/18,05:10 PM,06:10 PM,Rangers at Indians,Progressive Field - Cleveland,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",04/30/18,04/30/18,08:10 PM,09:10 PM,FALSE,TRUE,04/30/18,04:10 PM,05:10 PM,FREE,BUSY
05/01/18,05:10 PM,06:10 PM,Rangers at Indians,Progressive Field - Cleveland,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/01/18,05/01/18,08:10 PM,09:10 PM,FALSE,TRUE,05/01/18,04:10 PM,05:10 PM,FREE,BUSY
05/02/18,12:10 PM,01:10 PM,Rangers at Indians,Progressive Field - Cleveland,"Local TV: FSSW- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270",05/02/18,05/02/18,03:10 PM,04:10 PM,FALSE,TRUE,05/02/18,11:10 AM,12:10 PM,FREE,BUSY
05/03/18,07:05 PM,08:05 PM,Red Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270",05/03/18,05/03/18,10:05 PM,11:05 PM,FALSE,TRUE,05/03/18,06:05 PM,07:05 PM,FREE,BUSY
05/04/18,07:05 PM,08:05 PM,Red Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/04/18,05/04/18,10:05 PM,11:05 PM,FALSE,TRUE,05/04/18,06:05 PM,07:05 PM,FREE,BUSY
05/05/18,07:05 PM,08:05 PM,Red Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/05/18,05/05/18,10:05 PM,11:05 PM,FALSE,TRUE,05/05/18,06:05 PM,07:05 PM,FREE,BUSY
05/06/18,02:05 PM,03:05 PM,Red Sox at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/06/18,05/06/18,05:05 PM,06:05 PM,FALSE,TRUE,05/06/18,01:05 PM,02:05 PM,FREE,BUSY
05/07/18,07:05 PM,08:05 PM,Tigers at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/07/18,05/07/18,10:05 PM,11:05 PM,FALSE,TRUE,05/07/18,06:05 PM,07:05 PM,FREE,BUSY
05/08/18,07:05 PM,08:05 PM,Tigers at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/08/18,05/08/18,10:05 PM,11:05 PM,FALSE,TRUE,05/08/18,06:05 PM,07:05 PM,FREE,BUSY
05/09/18,01:05 PM,02:05 PM,Tigers at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/09/18,05/09/18,04:05 PM,05:05 PM,FALSE,TRUE,05/09/18,12:05 PM,01:05 PM,FREE,BUSY
05/11/18,07:10 PM,08:10 PM,Rangers at Astros,Minute Maid Park - Houston,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/11/18,05/11/18,10:10 PM,11:10 PM,FALSE,TRUE,05/11/18,06:10 PM,07:10 PM,FREE,BUSY
05/12/18,06:10 PM,07:10 PM,Rangers at Astros,Minute Maid Park - Houston,"Local TV: FSSW- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270",05/12/18,05/12/18,09:10 PM,10:10 PM,FALSE,TRUE,05/12/18,05:10 PM,06:10 PM,FREE,BUSY
05/13/18,01:10 PM,02:10 PM,Rangers at Astros,Minute Maid Park - Houston,"Local TV: FSSW- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270",05/13/18,05/13/18,04:10 PM,05:10 PM,FALSE,TRUE,05/13/18,12:10 PM,01:10 PM,FREE,BUSY
05/15/18,09:10 PM,10:10 PM,Rangers at Mariners,Safeco Field - Seattle,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/16/18,05/16/18,12:10 AM,01:10 AM,FALSE,TRUE,05/15/18,08:10 PM,09:10 PM,FREE,BUSY
05/16/18,02:40 PM,03:40 PM,Rangers at Mariners,Safeco Field - Seattle,"Local TV: FB-WATCH ----- Local Radio: 105.3 The Fan- KFLC 1270",05/16/18,05/16/18,05:40 PM,06:40 PM,FALSE,TRUE,05/16/18,01:40 PM,02:40 PM,FREE,BUSY
05/17/18,07:10 PM,08:10 PM,Rangers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/17/18,05/17/18,10:10 PM,11:10 PM,FALSE,TRUE,05/17/18,06:10 PM,07:10 PM,FREE,BUSY
05/18/18,07:10 PM,08:10 PM,Rangers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/18/18,05/18/18,10:10 PM,11:10 PM,FALSE,TRUE,05/18/18,06:10 PM,07:10 PM,FREE,BUSY
05/19/18,06:10 PM,07:10 PM,Rangers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/19/18,05/19/18,09:10 PM,10:10 PM,FALSE,TRUE,05/19/18,05:10 PM,06:10 PM,FREE,BUSY
05/20/18,01:10 PM,02:10 PM,Rangers at White Sox,Guaranteed Rate Field - Chicago,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/20/18,05/20/18,04:10 PM,05:10 PM,FALSE,TRUE,05/20/18,12:10 PM,01:10 PM,FREE,BUSY
05/21/18,07:05 PM,08:05 PM,Yankees at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270",05/21/18,05/21/18,10:05 PM,11:05 PM,FALSE,TRUE,05/21/18,06:05 PM,07:05 PM,FREE,BUSY
05/22/18,07:05 PM,08:05 PM,Yankees at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/22/18,05/22/18,10:05 PM,11:05 PM,FALSE,TRUE,05/22/18,06:05 PM,07:05 PM,FREE,BUSY
05/23/18,06:05 PM,07:05 PM,Yankees at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW- MLBN (out-of-market only) ----- Local Radio: 105.3 The Fan- KFLC 1270",05/23/18,05/23/18,09:05 PM,10:05 PM,FALSE,TRUE,05/23/18,05:05 PM,06:05 PM,FREE,BUSY
05/24/18,07:05 PM,08:05 PM,Royals at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- KFLC 1270",05/24/18,05/24/18,10:05 PM,11:05 PM,FALSE,TRUE,05/24/18,06:05 PM,07:05 PM,FREE,BUSY
